company_name,rating_class,star_5,star_4,star_3,star_2,star_1,total_reviews
NorthOne, Average,40%,7%,2%,3%,48%,122 
Kryptominerstech, Average,100%,0%,0%,0%,0%,1 
ASDFTEST, Average,100%,0%,0%,0%,0%,1 
The Payment HQ, Great,100%,0%,0%,0%,0%,2 
Asicminertech, Poor,14%,7%,0%,4%,75%,28 
Cash Express, Average,31%,15%,8%,8%,38%,13 
PNC Bank, Bad,5%,1%,2%,4%,88%,892 
Swadesh, Excellent,100%,0%,0%,0%,0%,11 
Coin Cloud, Poor,14%,4%,5%,9%,68%,109 
Liberty First Credit Union, Excellent,93%,3%,2%,<1%,<1%,204 
Coinhub Bitcoin ATM, Average,0%,0%,0%,0%,100%,2 
WPC Merchant Services & Credit Card Processing, Average,100%,0%,0%,0%,0%,1 
Heritage Valley Federal Credit Union, Great,82%,0%,9%,9%,0%,11 
cryptobaseatm.com, Average,50%,0%,0%,0%,50%,4 
Meriwest Credit Union, Average,62%,13%,0%,0%,25%,8 
Evergreen Credit Union, Excellent,96%,2%,<1%,<1%,<1%,228 
Asic Miners Rig, Poor,0%,0%,0%,0%,100%,6 
Crypto Dispensers, Poor,46%,6%,5%,5%,38%,129 
