ReviewID,CompanyID,CompanyName,ReviewText,SentimentScores,SentimentLabel
1,110,Evergreen Credit Union,"From the start to the finish, no hassle, easy, fast.  One of the best experiences with a banking institution I have ever had.  I would highly recommend Evergreen CU.ie, I got a RV loan, the process was done in 2 days with check in hand. WOW like I said no hassle, easy, fast.Thank you Evergreen CU",0.8754,Positive
3,110,Evergreen Credit Union,Best banking experience ever. From friendly courteous staff to online and mobile app to loans to communication your services are stellar!,0.8999,Positive
4,110,Evergreen Credit Union,"We have had nothing but top notch service with the staff at the South Portland location. From financing vehicles, to getting a HELOC,  getting a new boat, and assisting us with transferring money to our son in the military... the SP ECU staff are always friendly and get our needs taken care of efficiently! Five Stars all the way!!!",0.925,Positive
5,110,Evergreen Credit Union,"The loan process was smooth and simple. Happy Alexander was excellent during the whole process. She kept me informed and updated during the entire loan process. While assisting me, she had a pleasant and friendly attitude.",0.9313,Positive
7,110,Evergreen Credit Union,From my initial inquiry to securing a membership and vehicle loan (at a very competitive rate!) the process was smooth and easy. But the folks I dealt with (Casey and Chelsey) were outstanding. Quick and helpful replies and very great to work with. For the vehicle loan Chelsey made the preapproval process right through picking up the check about as easy as it can get. She even worked with the dealership on my behalf to keep them straight.,0.9796,Positive
9,110,Evergreen Credit Union,"Happy was very helpful and stayed in contact with me for every step of the process of my RV purchase. Her response time was fast to any of my first-timer questions! She made the funding process race rapid! Because of work, I had to do everything via email and online. It was not daunting at all! Happy made it simple. Ever so thankful!",0.9545,Positive
10,110,Evergreen Credit Union,I worked with Kacie and was referred over by Riverside Auto.  What a seamless process!! I could not be happier with the service and the smooth transaction. Highly recommend!!!,0.2926,Positive
12,110,Evergreen Credit Union,"We are long-time Evergreen CU customers, from our checking accounts, auto loans, and mortgages. We've completed several home purchases and refinances over the years, and find the loan servicing easy and reliable.  The Evergreen app allows us to transfer funds between accounts quickly, pay our mortgage, and check the status of deposits easily. We only wish there was another branch in the Scarborough/Saco area for convenience when we have in-person banking needs. Also wish their partnership with the Maine Mariners provided customers with perks, as we are Mariners fans. Thanks!",0.9098,Positive
13,110,Evergreen Credit Union,I had not applied for an auto loan in over 25 years and was nervous about qualifying. Abbie Taylor made the process easy and simple. I got a great rate and I also have a credit card with an awesome rate! Me! Thanks SO much for everything!,0.9466,Positive
14,110,Evergreen Credit Union,"Anne could not have been more helpful. I have a mystery charge on my Apple account, because of course I do. Anne offered a few different options and helped me sort it out. I have been living in Massachusetts for seven years but I have stayed with Evergreen because of people like Anne. Unlike big banks, Evergreen is staffed by actual humans who live actual real-world lives. Evergreen staff are always professional and don’t always tell me what I want to hear. But at least they’re nice about it.",0.8572,Positive
15,110,Evergreen Credit Union,I was very impressed with the car loan process with Evergreen.  From start to finish the process was very professional and they worked to make it fit my schedule!,0.7339,Positive
16,110,Evergreen Credit Union,"Kacie Cannell was so incredibly helpful! I appreciated the effort to make sure I understood and was comfortable with every aspect of the loan application process. She patiently took my calls and answered my emails in a timely manner and was courteous and knowledgeable. Kudos to her! And, well done Evergreen for employing a class act.",0.9675,Positive
18,110,Evergreen Credit Union,"I applied for a small personal loan with Chelsey Cargen at the South Portland branch. Chelsey made the approval process very easy and communicated important updates and details in a timely manner. I already have a checking, savings and sun select credit card with EGCU and am grateful to be building my credit and savings with a great institution. Thank you!",0.969,Positive
20,110,Evergreen Credit Union,Cassie was awesome.  The original solution to my problem was to come into the banking location.  Cassie noted that this would be an issue as I currently live in Arizona.  She came to a solution that solved my problem while still allowing Evergreen to maintain their protocols.  Such great customer service!,0.902,Positive
22,110,Evergreen Credit Union,"Sarah was available, kind, prompt, and thoughtful. She explained everything really well and guided us through our first time taking out a mortgage. She moved quickly, the rates she quoted were better than other lenders (sometimes by a whole point!) and she was fun to work with. We couldn't recommend her or Evergreen more highly!",0.9196,Positive
23,110,Evergreen Credit Union,"Found out the hard way that business debit cards are set by default to allow you to go negative for basic in-store purchases vs normal debit cards that would deny the purchase. Lead to two $32 ""convenience"" fees for going -$11. Doesn't feel very convenient but at least they reversed one INSF fee for me. They also removed the option that allows the card to go negative for those basic in-store purchases.",-0.8338,Negative
26,110,Evergreen Credit Union,The personal concern I received from Sarah and Heidi too made all the difference. I had some debt and a family need that needed help. Heidi made a suggestion to me and Sarah followed through. Thank you Evergreen Credit Union ladies.,0.6486,Positive
27,110,Evergreen Credit Union,"Outstanding customer service.  We were guided expertly through the loan process in this confusing time of COVID.  Our loan officer, Alice Goodwin,   made the whole process understandable and so easy.  Thank you so much.  We look forward to many more years with Evergreen Credit Union.",0.9,Positive
28,110,Evergreen Credit Union,"Isaiah Wright is my loan officer. Very helpful, professional and well informed.Fantastic experience and done very efficiently. Can't say enough good things about him. Appreciate his thoroughness and great suggestions. Ona report card the grade would be A++. Thank you. Abigail Parker",0.9335,Positive
32,110,Evergreen Credit Union,I meet Chelsea in December of 22 by chance from a friend that had introduced us. I came to Evergreen for help with my credit card payments. She was very gracious to help me all the way through so that I could get my cards bundled into one payment. She is very pleasant to work with.  And I am so very grateful for her kind words to help ease me the stress that I was feeling. I will continue to work with her on any upcoming opportunities. Next thing on the list is development a budget plan.,0.9854,Positive
33,110,Evergreen Credit Union,"Isaiah was extremely helpful in answering any questions regarding the issue I encountered with my account.  He was knowledgeable, friendly, and confident he could help find a solution.  He should be used as an example for how to interact with customerts and help them through their issues.",0.945,Positive
