SentimentScores,SentimentLabel,CompanyName,CompanyID,bank account,customer service,credits
0.836,Positive,Kryptominerstech,118,0,0,0
0.6792,Positive,PNC Bank,1118,4,0,0
0.3182,Positive,PNC Bank,1118,4,0,1
-0.9808,Negative,PNC Bank,1118,0,0,0
-0.9074,Negative,PNC Bank,1118,0,1,0
-0.6778,Negative,PNC Bank,1118,10,0,0
0.8797,Positive,PNC Bank,1118,1,0,0
0.3038,Positive,PNC Bank,1118,2,0,0
-0.7925,Negative,PNC Bank,1118,4,2,4
-0.8541,Negative,PNC Bank,1118,3,0,0
-0.2732,Negative,PNC Bank,1118,0,4,0
0.6808,Positive,PNC Bank,1118,3,0,0
-0.8687,Negative,PNC Bank,1118,2,0,0
0.4517,Positive,PNC Bank,1118,0,2,0
-0.965,Negative,PNC Bank,1118,2,0,0
0.6369,Positive,PNC Bank,1118,6,4,1
0.8731,Positive,PNC Bank,1118,1,0,0
-0.7979,Negative,PNC Bank,1118,1,0,0
-0.5423,Negative,PNC Bank,1118,2,2,0
-0.923,Negative,PNC Bank,1118,2,5,0
0.1862,Positive,PNC Bank,1118,1,3,0
0.8622,Positive,PNC Bank,1118,0,0,0
0.871,Positive,PNC Bank,1118,0,1,0
0.5917,Positive,PNC Bank,1118,3,0,1
-0.8402,Negative,PNC Bank,1118,0,0,0
-0.8991,Negative,PNC Bank,1118,9,2,0
-0.296,Negative,PNC Bank,1118,0,0,0
0.7906,Positive,PNC Bank,1118,4,0,0
-0.9271,Negative,PNC Bank,1118,7,0,1
-0.7597,Negative,PNC Bank,1118,1,2,0
-0.5352,Negative,PNC Bank,1118,1,0,0
-0.8058,Negative,PNC Bank,1118,4,0,0
0.8379,Positive,PNC Bank,1118,1,0,0
-0.552,Negative,PNC Bank,1118,0,0,0
-0.8935,Negative,PNC Bank,1118,0,0,0
0.6369,Positive,PNC Bank,1118,0,1,0
-0.1983,Negative,PNC Bank,1118,3,0,0
-0.5363,Negative,PNC Bank,1118,0,0,0
0.6322,Positive,PNC Bank,1118,2,0,0
-0.5106,Negative,PNC Bank,1118,0,0,0
-0.5242,Negative,PNC Bank,1118,3,0,0
-0.6788,Negative,PNC Bank,1118,0,0,0
-0.8034,Negative,PNC Bank,1118,1,0,1
-0.8139,Negative,PNC Bank,1118,1,2,2
0.0,Neutral,PNC Bank,1118,0,0,0
-0.765,Negative,PNC Bank,1118,3,1,1
-0.8877,Negative,PNC Bank,1118,2,3,0
-0.8326,Negative,PNC Bank,1118,3,0,1
-0.2023,Negative,PNC Bank,1118,1,0,0
0.0516,Positive,PNC Bank,1118,0,2,0
-0.4767,Negative,PNC Bank,1118,4,2,0
-0.4497,Negative,PNC Bank,1118,4,0,1
-0.9429,Negative,PNC Bank,1118,1,0,2
-0.5719,Negative,PNC Bank,1118,1,2,0
-0.7379,Negative,PNC Bank,1118,1,0,1
-0.8083,Negative,PNC Bank,1118,2,2,0
-0.3134,Negative,PNC Bank,1118,0,3,0
-0.8748,Negative,PNC Bank,1118,0,0,0
-0.0853,Negative,PNC Bank,1118,1,0,0
-0.8323,Negative,PNC Bank,1118,1,1,1
-0.2271,Negative,PNC Bank,1118,0,0,0
0.3049,Positive,PNC Bank,1118,3,1,0
-0.1511,Negative,PNC Bank,1118,0,0,0
0.0,Neutral,PNC Bank,1118,0,0,0
-0.8367,Negative,PNC Bank,1118,0,0,0
0.4019,Positive,PNC Bank,1118,4,0,0
-0.5859,Negative,PNC Bank,1118,2,0,1
-0.7959,Negative,PNC Bank,1118,1,0,0
-0.1546,Negative,PNC Bank,1118,0,0,0
-0.9361,Negative,PNC Bank,1118,0,0,2
-0.6179,Negative,PNC Bank,1118,2,1,0
-0.946,Negative,PNC Bank,1118,5,2,0
0.7983,Positive,PNC Bank,1118,1,0,1
-0.9099,Negative,PNC Bank,1118,2,0,0
-0.802,Negative,PNC Bank,1118,1,0,0
0.9283,Positive,PNC Bank,1118,2,2,0
0.1027,Positive,PNC Bank,1118,1,0,2
0.762,Positive,PNC Bank,1118,1,1,3
0.34,Positive,PNC Bank,1118,0,0,0
0.8528,Positive,PNC Bank,1118,1,0,0
-0.7975,Negative,PNC Bank,1118,3,0,0
-0.6124,Negative,PNC Bank,1118,1,0,0
-0.9537,Negative,PNC Bank,1118,2,2,0
-0.9496,Negative,PNC Bank,1118,0,0,0
-0.733,Negative,PNC Bank,1118,1,2,0
-0.5267,Negative,PNC Bank,1118,0,1,0
0.7695,Positive,PNC Bank,1118,1,0,0
-0.1531,Negative,PNC Bank,1118,0,0,0
-0.7241,Negative,PNC Bank,1118,3,1,0
-0.7058,Negative,PNC Bank,1118,2,0,0
0.5284,Positive,PNC Bank,1118,4,0,5
-0.879,Negative,PNC Bank,1118,0,0,1
-0.2263,Negative,PNC Bank,1118,0,0,0
0.6604,Positive,PNC Bank,1118,4,0,0
-0.1779,Negative,PNC Bank,1118,1,0,4
-0.1531,Negative,PNC Bank,1118,0,0,0
-0.861,Negative,PNC Bank,1118,1,0,1
-0.6852,Negative,PNC Bank,1118,2,2,0
0.8057,Positive,PNC Bank,1118,0,1,0
0.1289,Positive,PNC Bank,1118,0,0,0
0.7416,Positive,PNC Bank,1118,2,0,3
0.6566,Positive,PNC Bank,1118,0,1,0
0.7878,Positive,PNC Bank,1118,2,0,0
-0.6685,Negative,PNC Bank,1118,0,4,0
0.3804,Positive,PNC Bank,1118,5,2,0
-0.5267,Negative,PNC Bank,1118,0,0,0
0.7881,Positive,PNC Bank,1118,0,5,0
-0.7579,Negative,PNC Bank,1118,3,0,0
0.9184,Positive,PNC Bank,1118,1,0,2
0.5962,Positive,PNC Bank,1118,1,0,0
0.0,Neutral,PNC Bank,1118,1,0,0
0.0,Neutral,PNC Bank,1118,2,0,0
-0.8465,Negative,PNC Bank,1118,0,0,0
-0.9249,Negative,PNC Bank,1118,1,0,0
-0.6124,Negative,PNC Bank,1118,0,2,0
0.8225,Positive,PNC Bank,1118,1,0,0
-0.4215,Negative,PNC Bank,1118,4,0,1
0.9758,Positive,PNC Bank,1118,0,1,0
-0.34,Negative,PNC Bank,1118,1,0,0
-0.8601,Negative,PNC Bank,1118,3,3,0
-0.8313,Negative,PNC Bank,1118,0,0,0
-0.2354,Negative,PNC Bank,1118,2,0,2
-0.1825,Negative,PNC Bank,1118,2,2,0
-0.2924,Negative,PNC Bank,1118,2,0,0
0.4404,Positive,PNC Bank,1118,1,0,0
-0.7321,Negative,PNC Bank,1118,1,0,0
-0.7339,Negative,PNC Bank,1118,1,0,1
-0.5574,Negative,PNC Bank,1118,1,0,0
0.9162,Positive,PNC Bank,1118,2,0,1
-0.5423,Negative,PNC Bank,1118,1,0,1
0.8634,Positive,PNC Bank,1118,6,2,0
-0.659,Negative,PNC Bank,1118,1,2,0
0.5185,Positive,PNC Bank,1118,1,0,0
-0.8746,Negative,PNC Bank,1118,0,0,0
0.0,Neutral,PNC Bank,1118,5,0,0
-0.8058,Negative,PNC Bank,1118,5,1,0
-0.8114,Negative,PNC Bank,1118,1,0,0
-0.8847,Negative,PNC Bank,1118,0,1,0
-0.829,Negative,PNC Bank,1118,1,2,0
-0.7896,Negative,PNC Bank,1118,0,0,0
-0.8268,Negative,PNC Bank,1118,4,0,0
-0.9435,Negative,PNC Bank,1118,12,2,0
-0.296,Negative,PNC Bank,1118,1,0,0
-0.5984,Negative,PNC Bank,1118,2,5,0
-0.7599,Negative,PNC Bank,1118,2,0,0
0.6028,Positive,PNC Bank,1118,0,0,0
-0.4588,Negative,PNC Bank,1118,0,0,0
-0.3164,Negative,PNC Bank,1118,0,2,0
0.9493,Positive,PNC Bank,1118,1,0,0
0.0557,Positive,PNC Bank,1118,2,0,2
0.0,Neutral,PNC Bank,1118,1,0,0
-0.7547,Negative,PNC Bank,1118,2,0,0
-0.69,Negative,PNC Bank,1118,0,2,0
0.5526,Positive,PNC Bank,1118,1,0,0
-0.8677,Negative,PNC Bank,1118,2,0,0
0.0,Neutral,PNC Bank,1118,1,0,0
-0.1141,Negative,PNC Bank,1118,3,0,0
-0.3384,Negative,PNC Bank,1118,0,0,0
-0.7111,Negative,PNC Bank,1118,6,2,0
-0.2755,Negative,PNC Bank,1118,0,0,0
-0.807,Negative,PNC Bank,1118,1,2,0
0.0,Neutral,PNC Bank,1118,0,0,0
-0.7003,Negative,PNC Bank,1118,1,2,0
0.9824,Positive,PNC Bank,1118,0,0,0
0.9699,Positive,PNC Bank,1118,4,2,7
-0.6146,Negative,PNC Bank,1118,5,2,0
0.5994,Positive,PNC Bank,1118,2,0,1
-0.8636,Negative,PNC Bank,1118,0,0,0
0.6124,Positive,PNC Bank,1118,2,2,0
-0.7179,Negative,PNC Bank,1118,3,0,0
0.8974,Positive,PNC Bank,1118,0,1,0
-0.8663,Negative,PNC Bank,1118,1,0,1
-0.5423,Negative,PNC Bank,1118,0,0,0
-0.8591,Negative,PNC Bank,1118,5,0,0
-0.872,Negative,PNC Bank,1118,3,0,0
0.8133,Positive,PNC Bank,1118,3,1,0
-0.6075,Negative,PNC Bank,1118,1,0,0
-0.91,Negative,PNC Bank,1118,6,0,0
-0.4404,Negative,PNC Bank,1118,1,0,0
0.9552,Positive,PNC Bank,1118,7,2,0
-0.9667,Negative,PNC Bank,1118,2,3,0
-0.636,Negative,PNC Bank,1118,1,1,0
-0.8802,Negative,PNC Bank,1118,3,0,0
0.9622,Positive,PNC Bank,1118,19,5,0
0.9035,Positive,PNC Bank,1118,5,0,0
-0.9938,Negative,PNC Bank,1118,8,4,0
0.3912,Positive,PNC Bank,1118,3,6,0
0.9729,Positive,PNC Bank,1118,4,2,0
0.0,Neutral,PNC Bank,1118,1,0,0
0.0,Neutral,PNC Bank,1118,0,0,0
-0.3506,Negative,PNC Bank,1118,2,0,0
-0.1761,Negative,PNC Bank,1118,0,0,0
-0.5197,Negative,PNC Bank,1118,3,0,0
-0.4767,Negative,PNC Bank,1118,0,0,0
0.5766,Positive,PNC Bank,1118,7,0,0
-0.965,Negative,PNC Bank,1118,7,1,3
-0.8884,Negative,PNC Bank,1118,11,8,1
-0.9422,Negative,PNC Bank,1118,7,7,2
-0.0772,Negative,PNC Bank,1118,1,1,0
0.34,Positive,PNC Bank,1118,2,0,0
-0.1531,Negative,PNC Bank,1118,0,0,0
-0.7622,Negative,PNC Bank,1118,0,0,0
-0.9521,Negative,PNC Bank,1118,2,2,0
0.7063,Positive,PNC Bank,1118,1,1,0
-0.4798,Negative,PNC Bank,1118,2,0,0
-0.8271,Negative,PNC Bank,1118,0,0,0
0.4926,Positive,PNC Bank,1118,1,0,0
-0.9479,Negative,PNC Bank,1118,1,7,1
0.0,Neutral,PNC Bank,1118,1,1,0
0.6073,Positive,PNC Bank,1118,0,1,0
-0.78,Negative,PNC Bank,1118,1,2,0
0.296,Positive,PNC Bank,1118,1,0,0
-0.8564,Negative,PNC Bank,1118,0,2,2
-0.7717,Negative,PNC Bank,1118,1,0,0
0.3597,Positive,PNC Bank,1118,1,0,0
0.8302,Positive,PNC Bank,1118,1,2,0
-0.8173,Negative,PNC Bank,1118,5,4,0
-0.1058,Negative,PNC Bank,1118,1,0,1
-0.9689,Negative,PNC Bank,1118,0,4,0
-0.7579,Negative,PNC Bank,1118,0,0,0
-0.7407,Negative,PNC Bank,1118,3,0,0
0.6345,Positive,PNC Bank,1118,6,0,1
-0.7824,Negative,PNC Bank,1118,2,0,0
0.4019,Positive,PNC Bank,1118,0,0,0
-0.8004,Negative,PNC Bank,1118,2,0,0
-0.7248,Negative,PNC Bank,1118,6,2,0
0.8807,Positive,PNC Bank,1118,0,1,0
-0.5719,Negative,PNC Bank,1118,2,0,0
-0.9365,Negative,PNC Bank,1118,2,1,0
-0.9291,Negative,PNC Bank,1118,1,0,0
-0.9134,Negative,PNC Bank,1118,1,0,0
0.6687,Positive,PNC Bank,1118,2,2,0
-0.9605,Negative,PNC Bank,1118,0,0,0
-0.4215,Negative,PNC Bank,1118,1,0,0
0.5023,Positive,PNC Bank,1118,4,0,0
-0.802,Negative,PNC Bank,1118,4,1,0
-0.3637,Negative,PNC Bank,1118,2,0,0
-0.5775,Negative,PNC Bank,1118,9,6,0
-0.8176,Negative,PNC Bank,1118,3,0,0
0.9311,Positive,PNC Bank,1118,1,0,6
0.8283,Positive,PNC Bank,1118,1,0,1
-0.7398,Negative,PNC Bank,1118,1,0,2
-0.6991,Negative,PNC Bank,1118,1,1,1
-0.5992,Negative,PNC Bank,1118,1,2,4
-0.9196,Negative,PNC Bank,1118,3,0,0
-0.3875,Negative,PNC Bank,1118,1,0,0
-0.6199,Negative,PNC Bank,1118,3,1,0
-0.8558,Negative,PNC Bank,1118,2,0,0
-0.1531,Negative,PNC Bank,1118,1,0,0
0.6418,Positive,PNC Bank,1118,6,7,0
0.1779,Positive,PNC Bank,1118,0,0,1
-0.5805,Negative,PNC Bank,1118,2,0,1
-0.1315,Negative,PNC Bank,1118,0,2,2
0.4019,Positive,PNC Bank,1118,2,0,0
-0.952,Negative,PNC Bank,1118,7,1,0
-0.9414,Negative,PNC Bank,1118,1,0,0
