company_name,rating_class,star_5,star_4,star_3,star_2,star_1,total_reviews
Kryptominerstech, Average,100%,0%,0%,0%,0%,1 
Asicminertech, Poor,14%,7%,0%,4%,75%,28 
Swadesh, Excellent,100%,0%,0%,0%,0%,11 
Heritage Valley Federal Credit Union, Great,82%,0%,9%,9%,0%,11 
Evergreen Credit Union, Excellent,96%,2%,<1%,<1%,<1%,228 
Coin Cloud, Poor,13%,4%,5%,12%,66%,112 
Liberty First Credit Union, Excellent,93%,3%,2%,<1%,<1%,204 
cryptobaseatm.com, Average,50%,0%,0%,0%,50%,4 
Coinhub Bitcoin ATM, Average,0%,0%,0%,0%,100%,2 
PNC Bank, Bad,5%,1%,2%,4%,88%,888 
Crypto Dispensers, Poor,45%,6%,5%,5%,39%,130 
Meriwest Credit Union, Average,62%,13%,0%,0%,25%,8 
ASDFTEST, Average,100%,0%,0%,0%,0%,1 
NorthOne, Average,40%,7%,2%,3%,48%,122 
WPC Merchant Services & Credit Card Processing, Average,100%,0%,0%,0%,0%,1 
Asic Miners Rig, Poor,0%,0%,0%,0%,100%,6 
Cash Express, Average,25%,17%,8%,8%,42%,12 
The Payment HQ, Great,100%,0%,0%,0%,0%,2 
