review_star,review_title,reviewer_name,review_text,experience_date,review_date,reply_date,review_reply_text
5 out of 5,ATV Loan Experience,Chris L.,"I worked with Isaiah on a ATV loan. The entire process was very effortless, simple and fast. It took about 3 days from my first reaching out to the day I picked up my new purchase. Would definitely recommend working with them!","July 18, 2023",2023-07-19,Updated 3 hours ago,"Hi Chris,Thank you for sharing your Evergreen experience involving Isaiah. Congratulations on your new ATV!Best,Emma P.Evergreen Credit Union"
5 out of 5,Excellent Experience Purchasing a Car,Christine,I worked with Kacie and was referred over by Riverside Auto.  What a seamless process!! I could not be happier with the service and the smooth transaction. Highly recommend!!!,"July 18, 2023",2023-07-18,A day ago,"Hi Christine,Thank you for leaving a review! We're happy you could take advantage of our Local Lending Partners Program. Best,Emma P. Evergreen Credit Union"
5 out of 5,Old Guy Gets Auto Loan. Who Knew??,Paul Bellefeuille,I had not applied for an auto loan in over 25 years and was nervous about qualifying. Abbie Taylor made the process easy and simple. I got a great rate and I also have a credit card with an awesome rate! Me! Thanks SO much for everything!,"July 18, 2023",2023-07-19,5 hours ago,"Hi Paul,Congratulations! It's never too late to advocate for your financial health. We're glad Abbie was able to help you. Best,Emma P.Evergreen Credit Union"
5 out of 5,Fast and efficient loan process,customer,"Fast and efficient loan process, thank you Isaiah Wright!","June 30, 2023",2023-07-17,A day ago,"Hi there,We're glad Isaiah was able to help you with your loan! Thank you for sharing your experience.Best,Emma P.Evergreen Credit Union"
5 out of 5,Top Notch Staff,Kate,"We have had nothing but top notch service with the staff at the South Portland location. From financing vehicles, to getting a HELOC,  getting a new boat, and assisting us with transferring money to our son in the military... the SP ECU staff are always friendly and get our needs taken care of efficiently! Five Stars all the way!!!","June 30, 2022",2023-06-30,"Jun 30, 2023","Hi Kate,Thanks for leaving your positive review! The South Portland team is proud to serve members with fast, personable service! As always, please let us know if you or your family have any questions.Best,Emma P.Evergreen Credit Union"
5 out of 5,Easy process and friendlier people,patrick,From my initial inquiry to securing a membership and vehicle loan (at a very competitive rate!) the process was smooth and easy. But the folks I dealt with (Casey and Chelsey) were outstanding. Quick and helpful replies and very great to work with. For the vehicle loan Chelsey made the preapproval process right through picking up the check about as easy as it can get. She even worked with the dealership on my behalf to keep them straight.,"June 27, 2023",2023-06-30,"Jul 3, 2023","Hi Patrick,Thank you for sharing your experience with us! We're glad Casey and Chelsey could help make your loan process as easy as possible.Best,Emma P.Evergreen Credit Union"
5 out of 5,I was very impressed with the car loan…,Lianie McGowan,I was very impressed with the car loan process with Evergreen.  From start to finish the process was very professional and they worked to make it fit my schedule!,"July 05, 2023",2023-07-07,A day ago,"Hi Lianie,Thank you for sharing your Evergreen experience with us and choosing us for your car loan! Best,Emma P.Evergreen Credit Union"
5 out of 5,She was wonderful a true joy to speak…,MD,She was wonderful a true joy to speak with and she answered my questions in a professional manner.,"June 29, 2023",2023-06-29,"Jun 30, 2023","Hi there,Thank you for your feedback! If you have any other questions, reach out at (207) 221-5000, or visit your local branch. Best,Emma P.Evergreen Credit Union"
5 out of 5,EGCU Above and Beyond in Customer Service,Lisa Dominicus,"Today I had one of the best customer service experiences ever at EGCU. It was found my debit card had been compromised and needed to be replaced. I went to the credit union on Broadway in South Portland and as I stood there waiting for a new card I had a great conversation with both the teller working on my issue and another who was waiting for customers. Both were so professional, courteous, and genuinely kind. Not because that's their job but because they sincerely cared and it was apparent. Later at home I had to make a call back to the CU due to an issue updating a site with recurring billing using the new card. I experienced exactly the same level of attention and caring. There came a point where I was so overwhelmed and moved by this I asked who to reach out to there so I could be sure they received my gratitude. I have been a loyal EGCU customer for over 20 years. If anyone asked me to recommend a place to do their banking EGCU is unmatched. When I dealt with staff today I wasn't being waited on at a business. I felt like I was part of a family. Kudos to Evergreen Credit Union for providing stellar customer service and showing just how much they care about their patrons!","June 13, 2023",2023-06-14,"Jun 15, 2023","Hi Lisa,This is such a great experience! Thank you so much for sharing with us. We're always happy to help.Best,Emma P.Evergreen Credit Union"
5 out of 5,Long time Evergreen customers,Colin and Lisa Johnson,"We are long-time Evergreen CU customers, from our checking accounts, auto loans, and mortgages. We've completed several home purchases and refinances over the years, and find the loan servicing easy and reliable.  The Evergreen app allows us to transfer funds between accounts quickly, pay our mortgage, and check the status of deposits easily. We only wish there was another branch in the Scarborough/Saco area for convenience when we have in-person banking needs. Also wish their partnership with the Maine Mariners provided customers with perks, as we are Mariners fans. Thanks!","April 05, 2023",2023-04-05,"Apr 6, 2023","Good Day Colin and Lisa,Thank you so much for a great review and your time to write this up.  You offer some fantastic feedback.  Scarborough? Interesting possibility.  As for the Mariners, I have forwarded your thoughts to our marketing group.Regards,Paul LEvergreen Credit Union"
